La_name,La_code,total_deaths,Total,Children,Adults,Elders,Seniors,Total:_All_households,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,Total_population,Person_per_household,No_deprivation,Deprivation_in_one_dimesion,Deprivation_in_two_dimesion,Deprivation_in_three_dimesion,Deprivation_in_four_dimesion,"Managers,_directors_and_senior_officials",Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,"Caring,_leisure_and_other_service_occupations",Sales_and_customer_service_occupations,"Process,_plant_and_machine_operatives",Elementary_occupations,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other_qualifications
South Cambridgeshire,E07000012,182,162117,29789,100524,16587,15217,66996,39133,20695,6077,1055,36,162117,2.419801182,94694,50078,14705,2553,87,12766,25793,11083,6875,6990,5733,3482,3095,4847,15409,10095,15214,6049,18451,62375,2769
South Derbyshire,E07000039,238,107204,18884,68383,11259,8678,45239,24546,14303,5298,1057,35,107204,2.369725237,58167,33894,12555,2505,83,7633,10214,6799,4958,5679,4552,3333,4634,4942,13922,8596,12843,5439,16365,27668,2121
South Gloucestershire,E06000025,390,290424,49974,186256,27568,26626,118101,63701,38638,13163,2454,145,290424,2.459115503,156648,95015,32369,6035,357,17839,30991,19142,17135,15940,11877,9371,8721,12373,33792,23996,33959,15142,46440,78233,5802
South Hams,E07000044,45,88627,12730,50816,13500,11581,39335,20843,13180,4431,830,51,88627,2.253133342,46962,29696,9984,1870,115,6715,8215,5070,3219,6078,3199,2519,1712,3022,9725,6329,10121,4397,12682,29878,1838
South Holland,E07000140,177,95122,15066,57359,11843,10854,40703,17927,15205,6323,1193,55,95122,2.336977618,41895,35534,14777,2788,129,5176,4926,4122,4048,5941,4034,3059,6919,6232,19399,9844,12424,5601,12675,15866,3188
South Kesteven,E07000141,271,143404,23738,86547,17697,15422,62850,32490,21181,7674,1445,60,143404,2.281686555,74132,48328,17510,3297,137,9832,11723,8697,6285,7731,6181,4612,5149,6698,19963,12432,17947,7707,21236,35554,3174
South Norfolk,E07000149,217,141949,23173,84264,17886,16626,61382,31718,21228,7114,1261,61,141949,2.312550911,73349,49091,16451,2916,141,9394,14271,8729,6376,8140,6042,4236,4080,5159,19996,11816,17561,7045,20294,37556,2951
South Oxfordshire,E07000179,204,149081,25863,92641,15503,15074,61497,36075,19008,5413,956,45,149081,2.424199554,87453,46079,13122,2318,109,13440,18654,11283,6717,7468,5445,3657,3287,5185,15109,10349,15412,5837,19105,52950,2729
South Ribble,E07000126,225,111035,18315,68687,13058,10975,48588,25461,16043,5871,1158,55,111035,2.285235037,58184,36662,13417,2646,126,6531,10749,7478,5970,6064,4844,3767,3762,4185,14356,8782,12886,6678,17422,29235,2140
South Staffordshire,E07000196,251,110471,16015,66712,14190,13554,46121,23193,15515,6174,1204,35,110471,2.395242948,55553,37162,14788,2884,84,7763,9738,6566,5518,6291,3938,3108,3009,3804,18011,9515,13510,5924,16424,27448,2540
South Tyneside,E08000023,448,147777,24923,92016,17149,13689,68287,29586,23302,11971,3323,105,147777,2.164057581,64026,50427,25906,7191,227,5550,10080,7674,6718,6938,6614,5786,5591,6182,24849,12323,17393,9706,22265,31707,3049
Southampton,E06000045,342,248921,42084,172588,18609,15640,102291,46401,35075,15830,4573,412,248921,2.433459444,112915,85354,38522,11128,1003,10087,22556,13481,9645,11986,11807,8350,10034,14243,35381,19470,25671,11096,41992,64663,6095
Southend-on-Sea,E06000033,607,180686,32295,113830,18023,16538,78344,35711,27058,11979,3277,319,180686,2.306315736,82361,62404,27627,7558,736,10737,15762,11632,9157,8156,7883,5919,5019,7245,28823,17593,23151,7432,25291,39832,4288
Southwark,E09000028,419,307635,48478,233475,15069,10613,130818,63507,41817,19018,6066,410,307635,2.351625923,149345,98338,44723,14265,964,22839,49983,28085,11079,7822,11786,7627,5792,15584,35516,15851,20135,6509,31574,140514,6037
Spelthorne,E07000213,204,102958,18473,65893,9276,9316,41805,21283,14028,5260,1145,89,102958,2.462815453,52416,34548,12954,2820,219,7443,9968,7620,5980,5027,4287,3109,3211,3896,14012,9231,12028,4367,13227,27996,2501
St Albans,E07000240,320,148169,30067,92609,12993,12500,58990,35772,17068,5007,1084,59,148169,2.511764706,89851,42871,12576,2723,148,15079,22024,11343,5826,4307,4231,2982,2072,3417,11783,7775,13318,4003,15218,61536,2458
St. Helens,E08000013,503,183248,30627,114979,20497,17145,81013,35793,27070,13852,4161,137,183248,2.261957957,80962,61231,31333,9412,310,8305,13912,10135,7936,8585,8905,6331,7260,9373,32245,15613,22079,9728,26153,40903,3850
Stafford,E07000197,320,136869,21793,83626,16333,15117,60048,31816,19638,7075,1440,79,136869,2.279326539,72519,44761,16126,3282,180,9051,13723,9048,5940,6408,5268,4294,3916,6423,17910,10712,15946,6417,19756,39860,3014
Staffordshire Moorlands,E07000198,268,95845,14035,56692,13333,11785,42355,20892,14469,5822,1149,23,95845,2.262896943,47276,32742,13175,2600,52,5890,7529,5261,3896,6493,4356,2867,3715,3964,16223,7840,11441,5730,14491,22944,2189
Stevenage,E07000243,153,89493,17237,58714,7211,6331,36509,17418,12285,5349,1332,125,89493,2.451258594,42696,30114,13112,3265,306,4810,8624,5928,4412,5099,4458,3262,3335,4358,12113,9213,10908,3836,12205,21096,1865
Stockport,E08000007,654,294776,52559,182942,30951,28324,126648,64926,40720,16441,4294,267,294776,2.327521951,151117,94777,38267,9994,621,18991,34055,19971,13943,11670,11775,10280,6897,9434,37081,21831,32340,13923,38563,89741,5448
Stockton-on-Tees,E06000004,438,196595,36183,123228,21046,16138,83757,40497,27187,12617,3324,132,196595,2.347206801,95055,63814,29615,7802,310,8934,16471,10765,8296,8787,8512,6708,6945,8757,29441,15324,23005,10565,29004,46648,4023
Stoke-on-Trent,E06000021,716,258369,49445,164660,24255,20009,110400,45368,38581,20120,6068,263,258369,2.340298913,106175,90291,47087,14201,615,8732,13839,10754,9138,13347,13020,10019,12423,17549,53354,22574,30443,14144,34678,44948,5757
Stratford-on-Avon,E07000221,270,134725,20687,80124,17222,16692,59464,33604,18900,5822,1108,30,134725,2.265656532,76135,42821,13191,2510,68,12328,14127,9145,5815,7227,4681,3886,2867,4961,16230,9845,15155,5664,18532,44455,2758
Stroud,E07000082,173,121103,19556,73319,15154,13074,52378,28891,16912,5425,1093,57,121103,2.312096682,66799,39102,12543,2527,132,8962,12494,8139,5325,7280,5065,3412,3595,4439,13517,9028,13879,5638,17118,38746,2269
Sunderland,E08000024,775,274172,45121,172785,31599,24667,122177,50665,42435,22163,6645,269,274172,2.244055755,113695,95227,49735,14912,604,10348,17500,12977,12390,12116,11776,12543,11563,12827,51666,24530,33553,16312,38679,55532,5799
Surrey Heath,E07000214,228,90453,15585,57059,8994,8815,36008,20857,11192,3293,626,40,90453,2.512025106,52393,28115,8272,1573,100,8362,10325,6963,4433,3861,3625,2388,1797,2652,9643,7076,10557,3326,12377,28929,1876
Sutton,E09000029,455,209639,41415,136484,16969,14771,82348,41892,27257,10463,2549,187,209639,2.545769175,106647,69390,26636,6489,476,14515,24808,14021,11070,10279,8691,6190,5308,7114,25122,15348,21432,7281,25866,65889,4719
Swale,E07000113,401,151677,27877,94888,15976,12936,60494,26811,21299,9541,2675,168,151677,2.50730651,67223,53403,23922,6707,421,8518,10199,8929,6786,8523,6320,4559,6221,7868,26824,15032,18975,7665,21027,28911,3566
Swindon,E06000030,317,233411,43546,152796,20397,16672,95862,47251,32397,12869,3167,178,233411,2.434864701,115050,78882,31334,7711,433,12515,21042,14615,11204,11428,10030,8947,10823,14920,32430,24335,30268,10948,30591,52220,6359
Tameside,E08000008,641,231069,43240,147314,22807,17708,99527,42979,34038,17056,5142,312,231069,2.321671506,99783,79025,39598,11938,724,10446,15729,13217,11508,12235,10568,9479,9571,10572,40437,20811,28050,12776,32847,45214,5000
Tamworth,E07000199,193,78647,13979,49754,8569,6345,32894,15032,11381,5225,1216,40,78647,2.390922357,35940,27211,12493,2907,96,4164,4926,4336,3930,4091,3211,3256,3945,5346,13899,8284,10718,3495,11728,13953,1714
Tandridge,E07000215,210,87877,15946,53591,9368,8972,35622,19938,11272,3602,760,50,87877,2.466930549,49186,27807,8886,1875,123,8335,9117,6596,4455,4108,3468,1919,1665,2166,9787,6662,10727,3098,12267,26516,1769
Teignbridge,E07000045,105,134802,19967,78402,19190,17243,59838,29571,20916,7761,1483,107,134802,2.252782513,66617,47119,17484,3341,241,8377,11475,7465,5456,8050,6527,4401,3883,5245,17758,11479,16817,7420,19731,37172,3084
Telford and Wrekin,E06000020,242,185542,34573,118251,18313,14405,76510,35190,25928,12129,3138,125,185542,2.425068618,85338,62877,29414,7610,303,9098,13895,10315,7589,8791,8075,6256,9309,10114,29666,16732,23218,8212,27765,38803,4277
Tendring,E07000076,576,148296,21980,82442,22400,21474,67450,25858,25422,12755,3171,244,148296,2.198606375,56852,55893,28043,6972,536,7171,7380,6536,5540,8013,7665,4682,4491,5729,32782,16158,19076,8535,19444,24811,4084
Test Valley,E07000093,221,130492,22347,80474,14443,13228,54707,30460,17505,5573,1116,53,130492,2.385288903,72656,41754,13293,2662,126,10347,13446,9213,6950,6456,5133,3730,3858,5372,15047,10487,15329,5805,19252,38099,2733
Tewkesbury,E07000083,176,94887,16574,57199,11021,10093,40931,22543,13270,4277,797,44,94887,2.318218465,52260,30763,9915,1848,102,6675,9453,6328,5646,4765,3779,2915,2756,3331,10717,7566,11500,4432,13455,27744,1938
Thanet,E07000114,448,140588,23602,83728,17755,15503,62200,25596,22482,10956,2910,256,140588,2.260257235,57854,50815,24763,6577,579,7051,9437,7323,5082,6849,7592,4594,4051,5922,24990,13332,16646,7147,19294,30376,3632
Three Rivers,E07000102,229,93770,17550,59253,8893,8074,36860,20394,11586,3985,814,81,93770,2.543950081,51881,29474,10138,2071,206,8752,11569,6826,4718,4123,3301,2110,1856,2720,10022,6539,9838,3331,11479,32023,1771
Thurrock,E06000034,447,176001,37326,114821,13533,10321,66377,30305,23194,10204,2500,174,176001,2.651535924,80355,61500,27056,6629,461,9365,12351,9489,10016,9558,6890,6365,8460,10862,29443,16640,21251,6757,22151,35723,4398
Tonbridge and Malling,E07000115,244,132201,24932,81963,13172,12134,53575,28883,17151,6164,1314,63,132201,2.467587494,71271,42322,15210,3242,155,10637,12992,9532,6678,6611,4968,3817,3317,4689,16324,11163,16681,5851,18458,34332,2717
Torbay,E06000027,149,139324,20872,81265,19225,17962,62994,26537,22606,10615,2984,252,139324,2.211702702,58692,49998,23477,6600,557,7173,8170,6288,4905,7681,8139,4861,4076,6372,23137,13696,18096,8688,20227,29628,3560
Torridge,E07000046,44,68114,9855,38937,10498,8824,30459,14051,10950,4491,907,60,68114,2.236252011,31422,24487,10043,2028,134,3587,3775,2871,2501,5609,3643,2227,2203,3125,10824,6635,9073,4208,10137,15059,1624
Tower Hamlets,E09000030,500,310306,54141,238693,10380,7092,120539,55936,38337,18685,7054,527,310306,2.574320344,143997,98692,48101,18159,1357,20348,47809,27002,10716,7320,8567,8765,6700,11321,40999,17155,21433,5441,33343,127299,7213
Trafford,E08000009,471,235050,45906,147854,21488,19802,96269,51885,29699,11666,2883,136,235050,2.441595945,126682,72513,28484,7039,332,16583,31876,16162,10775,7551,7506,7208,4423,6966,25990,15309,23608,8931,28141,79961,4211
Tunbridge Wells,E07000116,209,115311,21399,71539,11330,11043,48223,26644,14989,5298,1188,104,115311,2.391203368,63711,35842,12669,2841,249,10177,13009,8106,4858,5089,4319,3341,2075,3990,12454,7996,13396,3874,14385,38010,2285
Uttlesford,E07000077,129,91341,16655,56257,9804,8625,36957,21451,11364,3506,611,25,91341,2.471548015,53017,28087,8665,1510,62,8844,9418,6968,4544,4637,3390,2307,2075,2785,10117,6980,11425,3739,12688,26926,1646
Vale of White Horse,E07000180,187,138911,24807,86639,14231,13234,57498,33434,17813,5252,950,49,138911,2.415927511,80774,43035,12688,2295,118,10664,18844,10537,6273,6729,5017,3374,3312,4692,14092,9588,13750,5595,17367,49504,2530
Wakefield,E08000036,802,353370,61899,224864,36927,29680,153076,68485,51797,25294,7240,260,353370,2.308461157,158095,119571,58390,16713,600,17151,24409,19768,15103,17458,15357,12180,16572,23410,70233,31086,42945,18709,46794,69797,7975
Walsall,E08000030,880,284124,57307,177355,25406,24056,112226,45129,39289,21212,6280,316,284124,2.531712794,114254,99468,53703,15899,800,11334,17421,12380,11068,14273,11693,9621,12372,15187,58781,25619,31738,11823,35038,52903,7198
Waltham Forest,E09000031,543,278424,53039,196989,15998,12398,102901,46576,34786,16559,4600,380,278424,2.7057463,126023,94122,44804,12446,1028,17260,31683,20768,11222,13710,9890,8365,8112,14660,40535,18874,23106,7699,28770,95910,7288
Wandsworth,E09000032,447,327507,51290,244883,17381,13953,137392,80186,38272,14425,4113,396,327507,2.383741411,191143,91231,34385,9804,944,35629,61064,36791,13030,7707,10439,7259,5033,9270,27202,12759,18895,5578,31214,171346,6564
Warrington,E06000007,514,210977,35813,135005,21442,18717,90538,46997,29036,11560,2824,121,210977,2.330259118,109515,67661,26938,6581,282,13556,20664,13816,9883,8645,8052,7779,7093,11173,28453,17238,25489,10298,29830,56955,4454
Warwick,E07000222,242,148456,23695,96736,14305,13720,62618,35954,18917,6230,1406,111,148456,2.370819892,85240,44849,14770,3333,263,11391,21392,10151,5725,5492,4669,3788,2947,4786,15548,9022,13233,5157,21832,55685,2775
Watford,E07000103,237,102243,20075,69280,6888,6000,39628,20051,13115,5091,1264,107,102243,2.580069648,51733,33838,13135,3261,276,6644,12153,7042,4824,4834,4359,3412,3148,4934,12841,7463,9965,3296,11677,33256,2465
Waverley,E07000216,300,128227,22897,77324,13632,14374,52448,31228,15702,4609,864,45,128227,2.444840604,76347,38389,11268,2112,110,12629,15437,9127,4898,5245,4580,2623,1688,3144,11859,7531,13644,4078,15825,48292,2405
Wealden,E07000065,374,160150,24685,92977,21894,20594,68265,35828,23388,7707,1287,55,160150,2.346004541,84053,54868,18081,3019,129,12846,13540,10129,7329,9678,7048,4520,3087,4950,19965,13935,20838,7742,24057,43548,3563
Welwyn Hatfield,E07000241,246,119837,20992,80037,9581,9227,46209,23806,15375,5712,1240,76,119837,2.593369257,61738,39873,14813,3216,197,8324,11866,7668,5468,5037,4409,3636,3053,5090,13975,8998,12533,4352,18576,36378,2672
West Berkshire,E06000037,223,161447,28655,101280,17053,14459,66658,37321,21058,6829,1365,85,161447,2.422019863,90392,51003,16540,3306,206,13237,18191,11903,7720,8148,6836,4699,3998,5948,18484,12985,18954,6788,22048,48376,3101
West Devon,E07000047,30,57096,8093,32733,8614,7656,24818,12236,8733,3176,620,53,57096,2.300588283,28150,20091,7307,1426,122,3447,4417,2858,2102,4233,2400,1672,1515,2262,7530,4858,7079,3049,8119,16468,1258
West Lancashire,E07000127,261,117430,17806,73902,13705,12017,48533,23639,16442,6818,1567,67,117430,2.419590794,57197,39783,16497,3791,162,7033,9834,6131,4800,5421,4878,3394,4291,5269,17485,9061,13457,5776,20675,29460,2418
West Lindsey,E07000142,161,95153,14983,56185,12991,10994,42346,20854,14460,5705,1273,54,95153,2.24703632,46860,32492,12819,2860,121,5726,7384,5028,3843,5278,4207,2877,3305,3677,14326,8194,11616,5360,14323,23191,2107
West Northamptonshire,E06000062,796,425725,77210,275839,40260,32416,172641,89483,57289,20930,4659,280,425725,2.465955364,220661,141272,51612,11489,690,28303,37468,26655,20457,21664,17025,12953,16043,28526,59804,37390,49213,19758,58081,109086,10168
West Oxfordshire,E07000181,179,114236,19172,70315,12689,12060,47982,27166,15276,4656,844,40,114236,2.38080947,64677,36369,11085,2009,95,9408,11921,8865,5479,6708,4989,3127,3151,4235,13058,8896,12617,5076,16106,35913,2143
West Suffolk,E07000245,180,179946,29977,112606,19248,18115,78746,38855,28247,9612,1926,106,179946,2.285144642,88789,64548,21965,4401,242,11331,14584,12885,7991,10862,8998,5334,6715,8926,31016,16000,20814,9349,23853,42235,4861
Westminster,E09000033,358,204235,25016,154439,13645,11135,94815,47540,28839,12728,5025,683,204235,2.154036809,102403,62120,27417,10824,1471,22622,30324,17087,6567,3420,5887,4654,2686,5442,22882,8615,12181,3746,22019,102356,5668
Westmorland and Furness,E06000064,561,226591,31957,136329,30973,27332,103529,53613,34569,12511,2722,114,226591,2.188671773,117341,75660,27382,5958,250,13653,18411,11856,8330,17357,10207,7815,7357,11305,30786,17565,25594,15530,34645,63595,4457
Wigan,E08000010,907,329330,56815,208912,35248,28355,143105,66618,46951,22904,6380,252,329330,2.301317215,153309,108049,52709,14682,580,16090,24826,19018,14857,17848,15915,11719,14196,16424,56571,28257,41466,18997,47383,69357,6663
Wiltshire,E06000054,773,510333,85485,313321,58700,52827,215081,114886,70924,24198,4848,225,510333,2.372747941,272596,168285,57416,11503,534,36503,46592,36892,25577,28351,22119,15156,15263,20981,60409,42756,62668,23327,76544,143201,10209
Winchester,E07000094,190,127445,21117,79748,13410,13170,51715,30153,15705,4907,894,56,127445,2.464372039,74308,38703,12093,2203,138,11033,16160,8677,4976,5004,4071,2635,1978,3738,11624,7320,12998,4209,19439,47033,2127
Windsor and Maidenhead,E06000040,313,153498,27733,97444,14517,13804,60933,35924,18161,5724,1071,53,153498,2.519127566,90497,45750,14419,2698,134,15879,18553,12507,6497,5743,5251,3426,2827,4299,15552,10077,15918,5060,18341,55603,3124
Wirral,E08000015,896,320196,54365,195440,38021,32370,143252,65530,47854,22925,6645,298,320196,2.235193924,146472,106963,51242,14853,666,15479,27622,17913,14377,13364,15168,10719,9572,12184,46894,25282,38576,15663,46887,82451,6359
Woking,E07000217,186,103944,19747,66987,8939,8271,41437,23292,12851,4289,929,76,103944,2.508482757,58428,32237,10759,2330,191,8618,13311,7680,4816,4250,4125,2786,2466,3476,10993,7003,10324,3209,12138,37112,2202
Wokingham,E06000041,267,177498,34504,112447,15863,14684,69164,42518,20173,5513,900,60,177498,2.566335088,109115,51771,14148,2310,154,15804,25316,14577,8201,6535,5676,4150,3073,4197,14671,11396,17773,5746,22992,65047,3196
Wolverhampton,E08000031,735,263726,52049,168395,22607,20675,105141,42414,37053,19711,5649,314,263726,2.508307891,106387,92940,49441,14169,788,9551,17464,11328,10030,11286,11504,8329,12354,15675,52803,22947,28741,10241,31391,54712,7606
Worcester,E07000237,175,103874,17095,68486,9867,8426,44720,22399,14795,5865,1553,108,103874,2.322763864,52028,34365,13623,3607,251,5542,10159,6508,4695,4811,4782,3655,4013,5424,14869,7892,11506,4558,15703,28872,2207
Worthing,E07000229,208,111340,17859,68528,12470,12483,49537,23654,17226,6875,1599,183,111340,2.247612895,53165,38717,15452,3594,411,6643,10634,7540,5221,5577,5989,3650,2848,4168,14977,9868,14057,5009,16416,29318,2710
Wychavon,E07000238,248,132492,20315,79245,17385,15547,57356,29626,19350,6922,1375,83,132492,2.309993723,68436,44698,15990,3176,192,10275,11376,7813,5919,7314,5298,4199,4663,5627,19535,11321,15311,6464,18393,36591,3102
Wyre,E07000128,340,111945,16444,64500,15979,15022,50767,23366,17707,7793,1813,88,111945,2.205074162,51524,39045,17184,3998,194,5958,8517,5579,5662,5898,4909,3147,3103,3778,18693,9497,13859,6726,16519,26682,2375
Wyre Forest,E07000239,249,101609,15955,59988,13497,12169,45322,20798,15760,6928,1730,106,101609,2.241935484,46628,35333,15532,3879,238,5813,7010,5212,4292,5966,4808,3512,3722,4578,18419,9053,12683,5610,14402,22057,2339
York,E06000014,337,202821,28838,135250,20265,18468,85459,46025,27910,9518,1918,88,202821,2.373313519,109232,66239,22589,4552,209,11492,22761,12098,7912,8494,7734,6624,4806,8388,22953,12802,19552,9032,37410,66749,3585
